Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
KO,Coca-Cola Company (The),44.95,$191.27B,,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/ko
CL,Colgate-Palmolive Company,65.84,$57.43B,,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/cl
CMA,Comerica Incorporated,95.77,$16.37B,,Finance,Major Banks,https://www.nasdaq.com/symbol/cma
CAG,"ConAgra Brands, Inc.",35.9,$14.03B,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/cag
CXO,Concho Resources Inc.,143.41,$21.38B,2007.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cxo
COP,ConocoPhillips,69.98,$81.88B,,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/cop
ED,Consolidated Edison Inc,77.46,$24.07B,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ed
STZ,Constellation Brands Inc,215.0,$41.11B,,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/stz
GLW,Corning Incorporated,29.36,$24.38B,,Basic Industries,Telecommunications Equipment,https://www.nasdaq.com/symbol/glw
COTY,Coty Inc.,13.96,$10.48B,2013.0,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/coty
CCI,Crown Castle International Corporation,108.75,$45.11B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cci
CMI,Cummins Inc.,134.72,$22.2B,,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cmi
CVS,CVS Health Corporation,66.34,$67.44B,,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/cvs
DHI,"D.R. Horton, Inc.",41.88,$15.81B,,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/dhi
DHR,Danaher Corporation,103.14,$72.17B,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dhr
DRI,"Darden Restaurants, Inc.",110.96,$13.74B,,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/dri
DVA,DaVita Inc.,70.88,$12.37B,,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/dva
DE,Deere & Company,135.53,$43.95B,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/de
DAL,"Delta Air Lines, Inc.",52.24,$36.12B,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/dal
DVN,Devon Energy Corporation,44.21,$23.14B,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dvn
DLR,"Digital Realty Trust, Inc.",115.83,$23.86B,2004.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/dlr
DFS,Discover Financial Services,73.13,$25.52B,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/dfs
DG,Dollar General Corporation,98.73,$26.42B,2009.0,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/dg
D,"Dominion Energy, Inc.",70.99,$46.34B,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/d
DOV,Dover Corporation,78.7,$11.62B,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dov
DWDP,DowDuPont Inc.,65.7,$152.48B,2017.0,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/dwdp
DTE,DTE Energy Company,106.43,$19.32B,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/dte
DUK,Duke Energy Corporation,79.97,$56.06B,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/duk
DRE,Duke Realty Corporation,27.87,$9.95B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/dre
DXC,DXC Technology Company,87.69,$24.9B,,Technology,EDP Services,https://www.nasdaq.com/symbol/dxc
EMN,Eastman Chemical Company,99.45,$14.19B,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/emn
ETN,"Eaton Corporation, PLC",76.87,$33.62B,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/etn
ECL,Ecolab Inc.,140.34,$40.49B,,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ecl
EIX,Edison International,65.05,$21.19B,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/eix
EW,Edwards Lifesciences Corporation,152.68,$32.18B,,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ew
LLY,Eli Lilly and Company,88.88,$96.47B,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lly
EMR,Emerson Electric Company,67.89,$42.78B,,Energy,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/emr
ETR,Entergy Corporation,79.41,$15.57B,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/etr
EVHC,Envision Healthcare Corporation,44.26,$5.37B,2016.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/evhc
EOG,"EOG Resources, Inc.",122.86,$71.12B,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eog
EQT,EQT Corporation,54.91,$14.58B,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eqt
EFX,"Equifax, Inc.",127.08,$15.29B,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/efx
EQR,Equity Residential,63.23,$23.28B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/eqr
ESS,"Essex Property Trust, Inc.",229.65,$15.17B,1994.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ess
EL,"Estee Lauder Companies, Inc. (The)",141.39,$51.9B,1995.0,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/el
RE,"Everest Re Group, Ltd.",225.26,$9.23B,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/re
ES,Eversource Energy,58.46,$18.53B,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/es
EXC,Exelon Corporation,41.61,$40.17B,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/exc
EXR,Extra Space Storage Inc,93.98,$11.86B,2004.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/exr
XOM,Exxon Mobil Corporation,81.4,$344.63B,,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/xom
FRT,Federal Realty Investment Trust,124.48,$9.11B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/frt
FDX,FedEx Corporation,236.4,$62.86B,,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/fdx
FIS,"Fidelity National Information Services, Inc.",109.34,$36.19B,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/fis
FE,FirstEnergy Corp.,34.83,$16.61B,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/fe
FLS,Flowserve Corporation,41.62,$5.45B,,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/fls
FLR,Fluor Corporation,48.74,$6.85B,,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/flr
FMC,FMC Corporation,85.88,$11.55B,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fmc
FL,"Foot Locker, Inc.",51.72,$6.05B,,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/fl
F,Ford Motor Company,10.47,$41.72B,,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/f
FTV,Fortive Corporation,76.18,$26.58B,2016.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ftv
FBHS,"Fortune Brands Home & Security, Inc.",55.34,$8.08B,,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/fbhs
BEN,"Franklin Resources, Inc.",32.48,$17.55B,,Finance,Investment Managers,https://www.nasdaq.com/symbol/ben
FCX,"Freeport-McMoran, Inc.",15.83,$22.93B,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fcx
GPS,"Gap, Inc. (The)",30.05,$11.64B,,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/gps
IT,"Gartner, Inc.",139.54,$12.73B,1993.0,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/it
GD,General Dynamics Corporation,193.23,$57.4B,,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/gd
GE,General Electric Company,12.99,$112.82B,,Energy,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/ge
GIS,"General Mills, Inc.",42.89,$25.45B,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/gis
GM,General Motors Company,39.27,$55.35B,2010.0,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/gm
GPC,Genuine Parts Company,98.57,$14.46B,,Capital Goods,Automotive Aftermarket,https://www.nasdaq.com/symbol/gpc
GGP,GGP Inc.,21.29,$20.4B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ggp
GPN,Global Payments Inc.,117.81,$18.8B,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/gpn
GS,"Goldman Sachs Group, Inc. (The)",233.76,$88.3B,1999.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/gs
HRB,"H&R Block, Inc.",24.59,$5.15B,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/hrb
HAL,Halliburton Company,41.54,$36.39B,,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/hal
HBI,Hanesbrands Inc.,22.31,$8.04B,,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/hbi
HOG,"Harley-Davidson, Inc.",41.45,$6.9B,,Consumer Non-Durables,Motor Vehicles,https://www.nasdaq.com/symbol/hog
HRS,Harris Corporation,150.18,$17.83B,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/hrs
HIG,"Hartford Financial Services Group, Inc. (The)",52.42,$18.77B,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/hig
HCA,"HCA Healthcare, Inc.",108.36,$37.85B,2011.0,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/hca
HCP,"HCP, Inc.",26.03,$12.23B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hcp
HP,"Helmerich & Payne, Inc.",58.9,$6.41B,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/hp
HSY,Hershey Company (The),91.04,$19.05B,,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/hsy
HES,Hess Corporation,64.24,$19.28B,,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/hes
HPE,Hewlett Packard Enterprise Company,15.47,$23.42B,2015.0,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/hpe
HLT,Hilton Worldwide Holdings Inc.,81.61,$24.52B,2016.0,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/hlt
HD,"Home Depot, Inc. (The)",202.23,$233.28B,,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/hd
HON,Honeywell International Inc.,153.7,$114.14B,,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/hon
HRL,Hormel Foods Corporation,37.17,$19.72B,,Consumer Non-Durables,Meat/Poultry/Fish,https://www.nasdaq.com/symbol/hrl
HST,"Host Hotels & Resorts, Inc.",21.58,$16B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hst
HPQ,HP Inc.,23.04,$37.11B,,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/hpq
HUM,Humana Inc.,317.86,$43.76B,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/hum
HII,"Huntington Ingalls Industries, Inc.",226.78,$10.09B,,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/hii
ITW,Illinois Tool Works Inc.,136.26,$46.16B,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/itw
IR,Ingersoll-Rand plc (Ireland),90.15,$22.35B,,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/ir
ICE,Intercontinental Exchange Inc.,76.59,$44.36B,2005.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ice
IBM,International Business Machines Corporation,145.7,$133.02B,,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/ibm
IFF,"International Flavors & Fragrances, Inc.",127.21,$10.04B,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/iff
IP,International Paper Company,52.69,$21.82B,,Basic Industries,Paper,https://www.nasdaq.com/symbol/ip
IPG,"Interpublic Group of Companies, Inc. (The)",21.98,$8.47B,,Technology,Advertising,https://www.nasdaq.com/symbol/ipg
IVZ,Invesco Plc,26.02,$10.69B,,Finance,Investment Managers,https://www.nasdaq.com/symbol/ivz
IQV,"IQVIA Holdings, Inc.",111.37,$22.53B,2013.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/iqv
