AAPL
MSFT
AMZN
JPM
BRK.B
GOOG
GOOGL
XOM
JNJ
BAC
WFC
V
UNH
INTC
CVX
HD
T
PFE
VZ
CSCO
PG
BA
MA
C
KO
MRK
DIS
PEP
NFLX
CMCSA
NVDA
ORCL
ABBV
PM
AMGN
WMT
ADBE
IBM
MCD
MDT
MMM
HON
GE
ABT
TXN
UNP
MO
ACN
